time,generation solar,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead
2015-01-01 00:00:00+01:00,49,6378,17,6436
2015-01-01 01:00:00+01:00,50,5890,16,5856
2015-01-01 02:00:00+01:00,50,5461,8,5454
2015-01-01 03:00:00+01:00,50,5238,2,5151
2015-01-01 04:00:00+01:00,42,4935,9,4861
2015-01-01 05:00:00+01:00,34,4618,4,4617
2015-01-01 06:00:00+01:00,34,4397,3,4276
2015-01-01 07:00:00+01:00,35,3992,12,3994
2015-01-01 08:00:00+01:00,54,3629,39,3602
2015-01-01 09:00:00+01:00,743,3073,784,3212
2015-01-01 10:00:00+01:00,2019,2683,1996,2617
2015-01-01 11:00:00+01:00,3197,2771,2990,2450
2015-01-01 12:00:00+01:00,3885,2906,3842,2819
2015-01-01 13:00:00+01:00,4007,2923,3812,2830
2015-01-01 14:00:00+01:00,3973,2945,3699,2851
2015-01-01 15:00:00+01:00,3818,2709,3369,2822
2015-01-01 16:00:00+01:00,3088,2552,2615,2562
2015-01-01 17:00:00+01:00,1467,2699,1387,2578
2015-01-01 18:00:00+01:00,404,2764,399,2824
2015-01-01 19:00:00+01:00,139,2913,100,2801
2015-01-01 20:00:00+01:00,100,3118,44,2999
2015-01-01 21:00:00+01:00,75,3373,26,3185
2015-01-01 22:00:00+01:00,74,3508,13,3446
2015-01-01 23:00:00+01:00,56,3527,14,3482
2015-01-02 00:00:00+01:00,54,13232,5,13329
2015-01-02 01:00:00+01:00,54,12760,35,12718
2015-01-02 02:00:00+01:00,54,12174,43,12375
2015-01-02 03:00:00+01:00,53,11358,32,11524
2015-01-02 04:00:00+01:00,53,11199,31,11310
2015-01-02 05:00:00+01:00,63,11152,26,11111
2015-01-02 06:00:00+01:00,55,11169,21,11303
2015-01-02 07:00:00+01:00,54,11205,136,11297
2015-01-02 08:00:00+01:00,116,10920,175,11048
2015-01-02 09:00:00+01:00,1039,10491,1092,10711
2015-01-02 10:00:00+01:00,2373,10156,2319,10379
2015-01-02 11:00:00+01:00,3699,10421,3451,10423
2015-01-02 12:00:00+01:00,4154,11230,4005,10989
2015-01-02 13:00:00+01:00,4074,11920,4120,11842
2015-01-02 14:00:00+01:00,3851,11819,3794,12078
2015-01-02 15:00:00+01:00,3619,11961,3479,11797
2015-01-02 16:00:00+01:00,3024,12025,2788,12061
2015-01-02 17:00:00+01:00,2053,12077,1786,12102
2015-01-02 18:00:00+01:00,769,11276,618,11451
2015-01-02 19:00:00+01:00,266,10510,170,10619
2015-01-02 20:00:00+01:00,165,10406,104,10216
2015-01-02 21:00:00+01:00,137,10445,93,10470
2015-01-02 22:00:00+01:00,137,9976,92,10112
2015-01-02 23:00:00+01:00,137,9527,81,9560
2015-01-03 00:00:00+01:00,62,9264,2,9313
2015-01-03 01:00:00+01:00,62,9135,0,9215
2015-01-03 02:00:00+01:00,61,9362,0,9196
2015-01-03 03:00:00+01:00,61,9628,2,9502
2015-01-03 04:00:00+01:00,61,9607,2,9617
2015-01-03 05:00:00+01:00,61,9666,1,9619
2015-01-03 06:00:00+01:00,61,9743,1,9733
2015-01-03 07:00:00+01:00,63,9401,37,9455
2015-01-03 08:00:00+01:00,233,8363,364,8564
2015-01-03 09:00:00+01:00,820,7924,1080,8062
2015-01-03 10:00:00+01:00,1665,7592,2015,7573
2015-01-03 11:00:00+01:00,2488,7874,2935,7689
2015-01-03 12:00:00+01:00,3218,8192,3406,8082
2015-01-03 13:00:00+01:00,3695,8718,3743,8571
2015-01-03 14:00:00+01:00,3780,9152,3756,9082
2015-01-03 15:00:00+01:00,3370,9382,3373,9168
2015-01-03 16:00:00+01:00,2692,9307,2724,9502
2015-01-03 17:00:00+01:00,1931,8892,1852,9020
2015-01-03 18:00:00+01:00,1015,8568,741,8641
2015-01-03 19:00:00+01:00,502,9005,103,8863
2015-01-03 20:00:00+01:00,355,9672,111,9619
2015-01-03 21:00:00+01:00,291,10081,157,10158
2015-01-03 22:00:00+01:00,207,10537,136,10370
2015-01-03 23:00:00+01:00,117,10953,78,10857
2015-01-04 00:00:00+01:00,692,8540,584,8564
2015-01-04 01:00:00+01:00,684,8080,640,8335
2015-01-04 02:00:00+01:00,648,7773,551,7816
2015-01-04 03:00:00+01:00,640,7601,508,7802
2015-01-04 04:00:00+01:00,563,7584,445,7570
2015-01-04 05:00:00+01:00,372,7812,288,7595
2015-01-04 06:00:00+01:00,179,7950,134,7913
2015-01-04 07:00:00+01:00,129,8228,33,8239
2015-01-04 08:00:00+01:00,357,8341,379,8275
2015-01-04 09:00:00+01:00,1634,8569,1381,8320
2015-01-04 10:00:00+01:00,3830,8433,3378,8529
2015-01-04 11:00:00+01:00,4937,8001,4727,8199
2015-01-04 12:00:00+01:00,5302,7520,5221,7698
2015-01-04 13:00:00+01:00,5590,7274,5765,7274
2015-01-04 14:00:00+01:00,5668,6878,5661,7008
2015-01-04 15:00:00+01:00,5593,7517,5540,7263
2015-01-04 16:00:00+01:00,5316,7999,5319,7886
2015-01-04 17:00:00+01:00,4907,8181,4766,8191
2015-01-04 18:00:00+01:00,4200,8260,3965,8321
2015-01-04 19:00:00+01:00,2911,8156,2680,8296
2015-01-04 20:00:00+01:00,1392,8347,1189,8158
2015-01-04 21:00:00+01:00,748,8875,750,8677
2015-01-04 22:00:00+01:00,696,8922,643,9036
2015-01-04 23:00:00+01:00,672,8735,647,8826
2015-01-05 00:00:00+01:00,691,7351,399,7321
2015-01-05 01:00:00+01:00,668,7403,588,7474
2015-01-05 02:00:00+01:00,662,7887,566,7731
2015-01-05 03:00:00+01:00,0,0,546,8233
2015-01-05 04:00:00+01:00,570,8348,386,8397
2015-01-05 05:00:00+01:00,428,8526,277,8437
2015-01-05 06:00:00+01:00,243,8518,161,8660
2015-01-05 07:00:00+01:00,155,8263,195,8285
2015-01-05 08:00:00+01:00,500,8326,685,8286
2015-01-05 09:00:00+01:00,1333,8046,1669,8122
2015-01-05 10:00:00+01:00,2482,8439,3011,8214
2015-01-05 11:00:00+01:00,3339,9131,3344,8921
2015-01-05 12:00:00+01:00,0,0,3932,9258
2015-01-05 13:00:00+01:00,0,0,4236,9156
2015-01-05 14:00:00+01:00,0,0,4215,9072
2015-01-05 15:00:00+01:00,0,0,4050,8779
2015-01-05 16:00:00+01:00,0,0,3728,8426
2015-01-05 17:00:00+01:00,0,0,3175,7946
2015-01-05 18:00:00+01:00,2944,7431,2658,7617
2015-01-05 19:00:00+01:00,1971,6570,1764,6837
2015-01-05 20:00:00+01:00,958,5549,946,5836
2015-01-05 21:00:00+01:00,605,4979,483,5054
2015-01-05 22:00:00+01:00,518,4822,324,4869
2015-01-05 23:00:00+01:00,394,4982,347,4890
2015-01-06 00:00:00+01:00,626,4052,544,4104
2015-01-06 01:00:00+01:00,624,3832,513,3889
2015-01-06 02:00:00+01:00,616,3398,466,3514
2015-01-06 03:00:00+01:00,582,3003,481,3091
2015-01-06 04:00:00+01:00,576,2569,486,2691
2015-01-06 05:00:00+01:00,499,2380,434,2377
2015-01-06 06:00:00+01:00,415,2196,399,2206
2015-01-06 07:00:00+01:00,412,1701,475,1827
2015-01-06 08:00:00+01:00,1168,1102,1408,1208
2015-01-06 09:00:00+01:00,3018,682,3077,759
2015-01-06 10:00:00+01:00,4129,470,4070,506
2015-01-06 11:00:00+01:00,4642,472,4629,483
2015-01-06 12:00:00+01:00,4976,683,4919,678
2015-01-06 13:00:00+01:00,5044,1041,5014,1130
2015-01-06 14:00:00+01:00,4887,1652,4875,1479
2015-01-06 15:00:00+01:00,4641,2761,4686,2347
2015-01-06 16:00:00+01:00,4279,3277,4404,3318
2015-01-06 17:00:00+01:00,3824,3281,3907,3236
2015-01-06 18:00:00+01:00,3132,3781,3456,3699
2015-01-06 19:00:00+01:00,2383,3943,2719,3929
2015-01-06 20:00:00+01:00,1586,4028,1615,4059
2015-01-06 21:00:00+01:00,891,3661,924,3823
2015-01-06 22:00:00+01:00,696,3485,632,3558
2015-01-06 23:00:00+01:00,669,3276,495,3276
2015-01-07 00:00:00+01:00,1280,6210,597,6140
2015-01-07 01:00:00+01:00,1253,5993,514,6205
2015-01-07 02:00:00+01:00,1231,5529,542,5735
2015-01-07 03:00:00+01:00,1223,5127,551,5232
2015-01-07 04:00:00+01:00,1189,4940,550,4959
2015-01-07 05:00:00+01:00,1142,4735,457,4784
2015-01-07 06:00:00+01:00,1043,4266,592,4452
2015-01-07 07:00:00+01:00,979,3849,871,3912
2015-01-07 08:00:00+01:00,1336,3369,1821,3585
2015-01-07 09:00:00+01:00,2121,2959,3169,3028
2015-01-07 10:00:00+01:00,2841,3226,4356,3098
2015-01-07 11:00:00+01:00,3556,4273,4651,3964
2015-01-07 12:00:00+01:00,3756,5914,4654,5486
2015-01-07 13:00:00+01:00,3639,7320,4593,7010
2015-01-07 14:00:00+01:00,4133,7837,4414,8090
2015-01-07 15:00:00+01:00,4896,7890,4049,7971
2015-01-07 16:00:00+01:00,4647,7996,3887,8004
2015-01-07 17:00:00+01:00,4184,7955,4055,7962
2015-01-07 18:00:00+01:00,3631,7582,3523,7779
2015-01-07 19:00:00+01:00,2772,6821,2670,7115
2015-01-07 20:00:00+01:00,2013,6198,1612,6110
2015-01-07 21:00:00+01:00,1193,6139,743,5883
