time,load actual
01-01-15,573522
02-01-15,654031
03-01-15,602656
04-01-15,650703
05-01-15,406070
06-01-15,667264
07-01-15,770520
08-01-15,631500
09-01-15,732264
10-01-15,671778
11-01-15,548898
12-01-15,752122
13-01-15,771234
14-01-15,770740
15-01-15,769388
16-01-15,770516
17-01-15,700578
18-01-15,669522
19-01-15,792704
20-01-15,816890
21-01-15,819827
22-01-15,814048
23-01-15,802958
24-01-15,719613
25-01-15,660295
26-01-15,780961
27-01-15,790396
28-01-15,749901
29-01-15,782389
30-01-15,772470
31-01-15,693434
01-02-15,342907
02-02-15,789294
03-02-15,705374
04-02-15,571751
05-02-15,567650
06-02-15,701690
07-02-15,756828
08-02-15,594469
09-02-15,723536
10-02-15,670169
11-02-15,635936
12-02-15,749745
13-02-15,774476
14-02-15,695365
15-02-15,639124
16-02-15,744949
17-02-15,774896
18-02-15,774672
19-02-15,760703
20-02-15,759037
21-02-15,686270
22-02-15,635924
23-02-15,751453
24-02-15,771430
25-02-15,766890
26-02-15,751716
27-02-15,732903
28-02-15,653337
01-03-15,662615
02-03-15,807526
03-03-15,709468
04-03-15,518784
05-03-15,547970
06-03-15,708469
07-03-15,764821
08-03-15,726761
09-03-15,702969
10-03-15,599011
11-03-15,680458
12-03-15,742923
13-03-15,700345
14-03-15,644097
15-03-15,602086
16-03-15,715872
17-03-15,735620
18-03-15,740822
19-03-15,692153
20-03-15,713743
21-03-15,655729
22-03-15,610271
23-03-15,732236
24-03-15,749925
25-03-15,742296
26-03-15,722648
27-03-15,711990
28-03-15,623593
29-03-15,543784
30-03-15,657683
31-03-15,662156
01-04-15,629931
02-04-15,825753
03-04-15,718385
04-04-15,546297
05-04-15,640704
06-04-15,693520
07-04-15,691268
08-04-15,736799
09-04-15,682179
10-04-15,557570
11-04-15,683280
12-04-15,734376
13-04-15,654931
14-04-15,672367
15-04-15,681070
16-04-15,639802
17-04-15,668581
18-04-15,599368
19-04-15,551984
20-04-15,622222
21-04-15,665914
22-04-15,663707
23-04-15,620431
24-04-15,655432
25-04-15,601093
26-04-15,558597
27-04-15,655367
28-04-15,663339
29-04-15,665752
30-04-15,667288
01-05-15,677868
02-05-15,783607
03-05-15,727482
04-05-15,525989
05-05-15,676924
06-05-15,702758
07-05-15,651863
08-05-15,744130
09-05-15,600975
10-05-15,675199
11-05-15,678411
12-05-15,659850
13-05-15,698002
14-05-15,712553
15-05-15,667648
16-05-15,602256
17-05-15,561168
18-05-15,671902
19-05-15,683245
20-05-15,667253
21-05-15,663580
22-05-15,666362
23-05-15,603764
24-05-15,550645
25-05-15,652588
26-05-15,674239
27-05-15,681387
28-05-15,689167
29-05-15,656732
30-05-15,608606
31-05-15,558543
01-06-15,605662
02-06-15,823236
03-06-15,719485
04-06-15,574882
05-06-15,670559
06-06-15,638592
07-06-15,786802
08-06-15,742750
09-06-15,549253
10-06-15,683751
11-06-15,675023
12-06-15,606705
13-06-15,606769
14-06-15,551666
15-06-15,657165
16-06-15,665629
17-06-15,674337
18-06-15,685072
19-06-15,695900
20-06-15,637488
21-06-15,586390
22-06-15,705660
23-06-15,704798
24-06-15,663784
25-06-15,711641
26-06-15,728694
27-06-15,675282
28-06-15,628495
29-06-15,759328
30-06-15,783354
01-07-15,758579
02-07-15,749273
03-07-15,631309
04-07-15,655895
05-07-15,670846
06-07-15,585878
07-07-15,812407
08-07-15,748184
09-07-15,653484
10-07-15,672160
11-07-15,598305
12-07-15,641362
13-07-15,775540
14-07-15,800423
15-07-15,805102
16-07-15,802506
17-07-15,800504
18-07-15,705872
19-07-15,640396
20-07-15,793484
21-07-15,817725
22-07-15,804835
23-07-15,803183
24-07-15,795545
25-07-15,684684
26-07-15,632256
27-07-15,768681
28-07-15,786625
29-07-15,797568
30-07-15,770178
31-07-15,730050
01-08-15,784885
02-08-15,684181
03-08-15,583753
04-08-15,678050
05-08-15,675323
06-08-15,707612
07-08-15,809506
08-08-15,659249
09-08-15,659252
10-08-15,664972
11-08-15,556566
12-08-15,615680
13-08-15,701818
14-08-15,662394
15-08-15,578269
16-08-15,553364
17-08-15,652326
18-08-15,658956
19-08-15,663918
20-08-15,687415
21-08-15,701232
22-08-15,631846
23-08-15,574698
24-08-15,666071
25-08-15,684830
26-08-15,685863
27-08-15,718565
28-08-15,721664
29-08-15,655679
30-08-15,612113
31-08-15,736112
01-09-15,775146
02-09-15,807657
03-09-15,695624
04-09-15,686572
05-09-15,607843
06-09-15,716135
07-09-15,793010
08-09-15,586509
