time,load actual
2015-01,22109192.00
2015-02,19482494.00
2015-03,21128824.00
2015-04,19647307.00
2015-05,20374696.00
2015-06,20198152.00
2015-07,22692839.00
2015-08,20626162.00
2015-09,19971006.00
2015-10,20520530.00
2015-11,20354146.00
2015-12,20552439.00
2016-01,21806313.00
2016-02,20373026.00
2016-03,20820755.00
2016-04,20109085.00
2016-05,20314799.00
2016-06,20358352.00
2016-07,21922885.00
2016-08,21417300.00
2016-09,20291555.00
2016-10,20343373.00
2016-11,20980039.00
2016-12,21530850.00
2017-01,22497781.00
2017-02,19452496.00
2017-03,21260315.00
2017-04,19488838.00
2017-05,20699289.00
2017-06,21853216.00
2017-07,22390688.00
2017-08,21376288.00
2017-09,20286199.00
2017-10,20611593.00
2017-11,21248864.00
2017-12,21565634.00
2018-01,22077458.00
2018-02,20366025.00
2018-03,21873894.00
2018-04,20078163.00
2018-05,20852903.00
2018-06,21026421.00
2018-07,21991962.00
2018-08,21621049.00
2018-09,20999466.00
2018-10,20920977.00
2018-11,21207471.00
2018-12,21523302.00
