time,load actual
2015-W01,1830209.00
2015-W02,4530099.00
2015-W03,5083476.00
2015-W04,5435562.00
2015-W05,5229846.00
2015-W06,4435494.00
2015-W07,4843696.00
2015-W08,5139651.00
2015-W09,5063653.00
2015-W10,4719653.00
2015-W11,4796564.00
2015-W12,4856025.00
2015-W13,4892959.00
2015-W14,4583989.00
2015-W15,4685320.00
2015-W16,4650495.00
2015-W17,4380783.00
2015-W18,4671818.00
2015-W19,4630121.00
2015-W20,4693919.00
2015-W21,4517274.00
2015-W22,4513364.00
2015-W23,4590959.00
2015-W24,4651053.00
2015-W25,4567257.00
2015-W26,4776249.00
2015-W27,4966233.00
2015-W28,4741264.00
2015-W29,5331309.00
2015-W30,5339852.00
2015-W31,5270243.00
2015-W32,4797674.00
2015-W33,4438951.00
2015-W34,4549057.00
2015-W35,4707370.00
2015-W36,4921067.00
2015-W37,4788302.00
2015-W38,4515518.00
2015-W39,4532464.00
2015-W40,4700499.00
2015-W41,4699901.00
2015-W42,4655113.00
2015-W43,4495958.00
2015-W44,4530939.00
2015-W45,4827452.00
2015-W46,4604839.00
2015-W47,4640414.00
2015-W48,4938666.00
2015-W49,4817189.00
2015-W50,4548307.00
2015-W51,4951939.00
2015-W52,4444035.00
2015-W53,3133744.00
2016-W01,1241261.00
2016-W02,4873465.00
2016-W03,4899964.00
2016-W04,5188249.00
2016-W05,4984492.00
2016-W06,4598727.00
2016-W07,4808324.00
2016-W08,5174140.00
2016-W09,5039150.00
2016-W10,4692414.00
2016-W11,4764752.00
2016-W12,5003992.00
2016-W13,4506710.00
2016-W14,4634504.00
2016-W15,4863873.00
2016-W16,4729236.00
2016-W17,4631776.00
2016-W18,4474150.00
2016-W19,4780132.00
2016-W20,4779654.00
2016-W21,4404500.00
2016-W22,4491176.00
2016-W23,4451488.00
2016-W24,4828693.00
2016-W25,4747385.00
2016-W26,4680789.00
2016-W27,4847061.00
2016-W28,4885203.00
2016-W29,4908083.00
2016-W30,5070752.00
2016-W31,5093869.00
2016-W32,4819958.00
2016-W33,4802671.00
2016-W34,4633279.00
2016-W35,4910903.00
2016-W36,5049883.00
2016-W37,4734171.00
2016-W38,4795374.00
2016-W39,4610235.00
2016-W40,4601582.00
2016-W41,4812893.00
2016-W42,4603747.00
2016-W43,4557655.00
2016-W44,4577963.00
2016-W45,4764482.00
2016-W46,4703324.00
2016-W47,4840264.00
2016-W48,4981746.00
2016-W49,5013691.00
2016-W50,4754004.00
2016-W51,5111629.00
2016-W52,5022773.00
2016-W53,4488141.00
2017-W01,4524708.00
2017-W02,4880405.00
2017-W03,5510910.00
2017-W04,5405689.00
2017-W05,4927609.00
2017-W06,4690818.00
2017-W07,5087757.00
2017-W08,4906598.00
2017-W09,4921196.00
2017-W10,4757174.00
2017-W11,4777850.00
2017-W12,4749818.00
2017-W13,4816299.00
2017-W14,4798868.00
2017-W15,4463923.00
2017-W16,4369663.00
2017-W17,4547409.00
2017-W18,4532861.00
2017-W19,4903024.00
2017-W20,4513231.00
2017-W21,4680837.00
2017-W22,4678242.00
2017-W23,4823199.00
2017-W24,5292659.00
2017-W25,5393646.00
2017-W26,4962164.00
2017-W27,4862885.00
2017-W28,5149663.00
2017-W29,5243538.00
2017-W30,5079631.00
2017-W31,4756718.00
2017-W32,4794064.00
2017-W33,4686360.00
2017-W34,5042792.00
2017-W35,5025813.00
2017-W36,4584893.00
2017-W37,4810625.00
2017-W38,4654686.00
2017-W39,4696885.00
2017-W40,4976641.00
2017-W41,4551668.00
2017-W42,4590924.00
2017-W43,4572960.00
2017-W44,4666293.00
2017-W45,4732798.00
2017-W46,5056035.00
2017-W47,5009552.00
2017-W48,5112568.00
2017-W49,4762388.00
2017-W50,5024709.00
2017-W51,5250869.00
2017-W52,4537801.00
2017-W53,580885.00
2018-W01,3918876.00
2018-W02,4768820.00
2018-W03,5299140.00
2018-W04,5135618.00
2018-W05,5228849.00
2018-W06,4734115.00
2018-W07,5126411.00
2018-W08,5195298.00
2018-W09,5155753.00
2018-W10,4944245.00
2018-W11,5026959.00
2018-W12,5194577.00
2018-W13,4588716.00
2018-W14,4835971.00
2018-W15,4890557.00
2018-W16,4643525.00
2018-W17,4532307.00
2018-W18,4746895.00
2018-W19,4961779.00
2018-W20,4542673.00
2018-W21,4543674.00
2018-W22,4663925.00
2018-W23,4967273.00
2018-W24,4674909.00
2018-W25,4920152.00
2018-W26,5033847.00
2018-W27,4886769.00
2018-W28,4879914.00
2018-W29,5047480.00
2018-W30,5062046.00
2018-W31,5089514.00
2018-W32,4772957.00
2018-W33,4634485.00
2018-W34,4860737.00
2018-W35,5196645.00
2018-W36,5069915.00
2018-W37,4707769.00
2018-W38,4939073.00
2018-W39,4884632.00
2018-W40,4761901.00
2018-W41,4832126.00
2018-W42,4562129.00
2018-W43,4557848.00
2018-W44,4876799.00
2018-W45,4904691.00
2018-W46,4852145.00
2018-W47,4958372.00
2018-W48,5203363.00
2018-W49,4956259.00
2018-W50,5018231.00
2018-W51,5112965.00
2018-W52,4407594.00
2018-W53,1227868.00
