time,load forecast
2015-01-01,592887.00
2015-01-02,661452.00
2015-01-03,612862.00
2015-01-04,652361.00
2015-01-05,537711.00
2015-01-06,652611.00
2015-01-07,779800.00
2015-01-08,654680.00
2015-01-09,723885.00
2015-01-10,668805.00
2015-01-11,553343.00
2015-01-12,752721.00
2015-01-13,777651.00
2015-01-14,777254.00
2015-01-15,783237.00
2015-01-16,777889.00
2015-01-17,705692.00
2015-01-18,671271.00
2015-01-19,794295.00
2015-01-20,815612.00
2015-01-21,820704.00
2015-01-22,813243.00
2015-01-23,809925.00
2015-01-24,717077.00
2015-01-25,671703.00
2015-01-26,788399.00
2015-01-27,793787.00
2015-01-28,794214.00
2015-01-29,794800.00
2015-01-30,772193.00
2015-01-31,687837.00
2015-02-01,673630.00
2015-02-02,788516.00
2015-02-03,712835.00
2015-02-04,574155.00
2015-02-05,564366.00
2015-02-06,696942.00
2015-02-07,765997.00
2015-02-08,605591.00
2015-02-09,719395.00
2015-02-10,665460.00
2015-02-11,621253.00
2015-02-12,754217.00
2015-02-13,793155.00
2015-02-14,695708.00
2015-02-15,644274.00
2015-02-16,752729.00
2015-02-17,754305.00
2015-02-18,789115.00
2015-02-19,783880.00
2015-02-20,769272.00
2015-02-21,688369.00
2015-02-22,633247.00
2015-02-23,745201.00
2015-02-24,768877.00
2015-02-25,773617.00
2015-02-26,756877.00
2015-02-27,749425.00
2015-02-28,661314.00
2015-03-01,636337.00
2015-03-02,812009.00
2015-03-03,723475.00
2015-03-04,522941.00
2015-03-05,552594.00
2015-03-06,707425.00
2015-03-07,759084.00
2015-03-08,719888.00
2015-03-09,706219.00
2015-03-10,593012.00
2015-03-11,687289.00
2015-03-12,748781.00
2015-03-13,694496.00
2015-03-14,639305.00
2015-03-15,603617.00
2015-03-16,713775.00
2015-03-17,730366.00
2015-03-18,727091.00
2015-03-19,676141.00
2015-03-20,683632.00
2015-03-21,648489.00
2015-03-22,609269.00
2015-03-23,730139.00
2015-03-24,746082.00
2015-03-25,751469.00
2015-03-26,752646.00
2015-03-27,722030.00
2015-03-28,625001.00
2015-03-29,549737.00
2015-03-30,656905.00
2015-03-31,666674.00
2015-04-01,614424.00
2015-04-02,829069.00
2015-04-03,722249.00
2015-04-04,551337.00
2015-04-05,645354.00
2015-04-06,700772.00
2015-04-07,702379.00
2015-04-08,728872.00
2015-04-09,698769.00
2015-04-10,547449.00
2015-04-11,681698.00
2015-04-12,742870.00
2015-04-13,659651.00
2015-04-14,668634.00
2015-04-15,672666.00
2015-04-16,678192.00
2015-04-17,671734.00
2015-04-18,600652.00
2015-04-19,557072.00
2015-04-20,652553.00
2015-04-21,668449.00
2015-04-22,668707.00
2015-04-23,650003.00
2015-04-24,652667.00
2015-04-25,589954.00
2015-04-26,554061.00
2015-04-27,657076.00
2015-04-28,668350.00
2015-04-29,664091.00
2015-04-30,666784.00
2015-05-01,727599.00
2015-05-02,843374.00
2015-05-03,728586.00
2015-05-04,532346.00
2015-05-05,666637.00
2015-05-06,702453.00
2015-05-07,633715.00
2015-05-08,734547.00
2015-05-09,605579.00
2015-05-10,677188.00
2015-05-11,682947.00
2015-05-12,652787.00
2015-05-13,700146.00
2015-05-14,702538.00
2015-05-15,676121.00
2015-05-16,598312.00
2015-05-17,555442.00
2015-05-18,664270.00
2015-05-19,685064.00
2015-05-20,684062.00
2015-05-21,670455.00
2015-05-22,662075.00
2015-05-23,600998.00
2015-05-24,555313.00
2015-05-25,655134.00
2015-05-26,670322.00
2015-05-27,670637.00
