time,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat
01-01-15,6178,0,102162,101917,3845,0,0
02-01-15,0,0,84976,29688,4767,0,0
03-01-15,0,0,82663,32262,5438,0,0
04-01-15,0,0,83270,53879,8530,0,0
05-01-15,430,0,78256,44880,5482,0,0
06-01-15,22086,0,107998,158312,7845,0,0
07-01-15,22173,0,129222,190181,8857,0,0
08-01-15,13115,0,106659,165167,7598,0,0
09-01-15,21008,0,137818,180334,8345,0,0
10-01-15,20851,0,129963,173629,9939,0,0
11-01-15,0,0,93832,53363,5045,0,0
12-01-15,22445,0,217797,174019,9859,0,0
13-01-15,20417,0,145684,159679,7760,0,0
14-01-15,20693,0,149537,167844,7916,0,0
15-01-15,19270,0,99906,142105,8030,0,0
16-01-15,17147,0,111113,132404,8145,0,0
17-01-15,20127,0,111689,131953,6939,0,0
18-01-15,19368,0,113245,121909,6400,0,0
19-01-15,19109,0,119845,151536,6899,0,0
20-01-15,21633,0,179451,186847,7598,0,0
21-01-15,21437,0,134251,178258,7868,0,0
22-01-15,19935,0,126376,171801,7841,0,0
23-01-15,18771,0,122152,173501,8069,0,0
24-01-15,12810,0,96289,140124,6758,0,0
25-01-15,10762,0,89338,93859,6147,0,0
26-01-15,19640,0,128602,154981,7358,0,0
27-01-15,18839,0,110635,162016,7479,0,0
28-01-15,11270,0,119958,157955,7572,0,0
29-01-15,386,0,91606,112599,7976,0,0
30-01-15,0,0,84357,41127,7251,0,0
31-01-15,0,0,66407,28327,4757,0,0
01-02-15,7532,0,134010,133718,6804,0,0
02-02-15,0,0,111320,101611,6436,0,0
03-02-15,0,0,116560,69900,6695,0,0
04-02-15,0,0,86453,44181,6237,0,0
05-02-15,0,0,115075,64321,6838,0,0
06-02-15,22979,0,107405,173080,8424,0,0
07-02-15,22943,0,165944,184764,8770,0,0
08-02-15,10062,0,94577,119520,7081,0,0
09-02-15,21752,0,129280,179110,8927,0,0
10-02-15,20655,0,124279,166738,9818,0,0
11-02-15,0,0,116272,110548,6527,0,0
