time,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat
2015-01,419900,0,3555057,3966456,224313,0,0
2015-02,210617,0,3141019,2718895,214529,0,0
2015-03,181617,0,3428761,3145727,237265,0,0
2015-04,332520,0,3555625,3460413,243245,0,0
2015-05,278465,0,3285020,2990592,247430,0,0
2015-06,478252,0,3548215,4462902,229526,0,0
2015-07,509060,0,4857941,5020861,268014,0,0
2015-08,435811,0,3660102,4359372,240992,0,0
2015-09,394620,0,3655139,4070789,247314,0,0
2015-10,392846,0,3892236,4306789,240603,0,0
2015-11,500605,0,3879174,4307495,249166,0,0
2015-12,366656,0,3761503,3955492,245674,0,0
2016-01,310938,0,3921713,3128234,251074,0,0
2016-02,133399,0,3097451,2107248,206889,0,0
2016-03,128690,0,3222090,2218514,218481,0,0
2016-04,103371,0,3069707,1602854,187119,0,0
2016-05,133178,0,3353978,1656629,206769,0,0
2016-06,126432,0,3595916,2071498,208677,0,0
2016-07,296320,0,4068403,2974910,212724,0,0
2016-08,345494,0,3623271,3104341,210780,0,0
2016-09,341079,0,3343356,3029770,202598,0,0
2016-10,457258,0,4636001,3181925,206362,0,0
2016-11,467673,0,4636091,3298775,195530,0,0
2016-12,499072,0,4595075,3708316,205820,0,0
2017-01,512352,0,4770968,4117134,207965,0,0
2017-02,405495,0,3737089,2945062,195822,0,0
2017-03,249401,0,3965702,2205112,224763,0,0
2017-04,302483,0,3722285,2245912,188273,0,0
2017-05,372573,0,4086994,3295116,217189,0,0
2017-06,344744,0,5179882,3665630,215563,0,0
2017-07,484104,0,5480359,3393595,229301,0,0
2017-08,380814,0,4986240,2816957,227839,0,0
2017-09,462694,0,5106565,2887535,223777,0,0
2017-10,418185,0,5186541,3219242,214127,0,0
2017-11,480706,0,6145069,3953676,218551,0,0
2017-12,354548,0,4341921,3222006,218681,0,0
2018-01,282396,0,4231660,2815015,212590,0,0
2018-02,273471,0,3674523,2785030,198845,0,0
2018-03,92441,0,3667458,1602787,214078,0,0
2018-04,96465,0,3416597,1998633,185493,0,0
2018-05,228932,0,4298209,2733569,208655,0,0
2018-06,240479,0,4181440,2202924,205287,0,0
2018-07,376232,0,4358209,2982928,209188,0,0
2018-08,223306,0,4552794,3066445,210800,0,0
2018-09,401876,0,4206285,3348733,213218,0,0
2018-10,302349,0,4564974,2818198,217018,0,0
2018-11,270530,0,5000979,3483920,196548,0,0
2018-12,302234,0,4808871,2504124,200152,0,0
