time,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat
2015-W01,6178,0,269801,163867,14050,0,0
2015-W02,99663,0,773186,966382,56596,0,0
2015-W03,120099,0,929558,961367,53694,0,0
2015-W04,133063,0,891609,1123976,51433,0,0
2015-W05,60897,0,690903,750864,48540,0,0
2015-W06,53454,0,836767,771575,50204,0,0
2015-W07,95940,0,895233,982380,58306,0,0
2015-W08,61223,0,779387,663163,56308,0,0
2015-W09,0,0,629632,301777,49711,0,0
2015-W10,52992,0,833699,810710,51374,0,0
2015-W11,82708,0,870887,947681,57590,0,0
2015-W12,17739,0,747051,672468,51037,0,0
2015-W13,28178,0,713819,549587,54752,0,0
2015-W14,6561,0,669459,508952,49656,0,0
2015-W15,98674,0,856075,973819,57817,0,0
2015-W16,91353,0,872128,787046,59771,0,0
2015-W17,76212,0,824331,789609,57363,0,0
2015-W18,76528,0,874526,838147,56501,0,0
2015-W19,100116,0,742344,799293,51923,0,0
2015-W20,56291,0,752722,689494,58816,0,0
2015-W21,6360,0,686364,457283,57317,0,0
2015-W22,79270,0,730024,654727,57856,0,0
2015-W23,86306,0,828109,774862,52336,0,0
2015-W24,103529,0,889283,1045187,56002,0,0
2015-W25,134774,0,709400,961892,49570,0,0
2015-W26,108833,0,850657,1251258,53522,0,0
2015-W27,94915,0,910713,1001858,54661,0,0
2015-W28,101323,0,937662,1058033,59286,0,0
2015-W29,137733,0,1274954,1207869,62561,0,0
2015-W30,116816,0,1251207,1239727,62356,0,0
2015-W31,145630,0,1036542,1251105,61708,0,0
2015-W32,63091,0,793564,794939,53655,0,0
2015-W33,99270,0,832690,965852,57219,0,0
2015-W34,125118,0,814042,1150703,56471,0,0
2015-W35,92936,0,772156,945128,50330,0,0
2015-W36,88993,0,884106,970399,54498,0,0
2015-W37,127224,0,1008071,1131984,59616,0,0
2015-W38,43245,0,745518,677541,59916,0,0
2015-W39,116836,0,815673,1000402,52601,0,0
2015-W40,114727,0,856943,1088908,58972,0,0
2015-W41,104298,0,917141,972031,55108,0,0
2015-W42,95539,0,979602,1028958,55739,0,0
2015-W43,88706,0,825226,940372,54929,0,0
2015-W44,40367,0,776351,879621,51560,0,0
2015-W45,133238,0,886338,1003131,54793,0,0
2015-W46,121592,0,986894,1087611,57866,0,0
2015-W47,109943,0,867442,955620,59755,0,0
2015-W48,104835,0,833732,948900,60004,0,0
2015-W49,112234,0,931214,940110,55557,0,0
2015-W50,124903,0,918997,1076770,53614,0,0
2015-W51,113727,0,850732,1109680,62156,0,0
2015-W52,41512,0,876459,815509,52878,0,0
2015-W53,5277,0,488869,325656,38217,0,0
2016-W01,14858,0,210858,154369,14162,0,0
2016-W02,49739,0,777737,548972,49245,0,0
2016-W03,48600,0,935465,736552,54985,0,0
2016-W04,99422,0,1045287,833603,62423,0,0
2016-W05,98319,0,865400,805471,63306,0,0
2016-W06,18413,0,679797,386206,50016,0,0
2016-W07,94792,0,1038553,820273,45745,0,0
2016-W08,20194,0,752073,511288,53530,0,0
2016-W09,0,0,606150,369934,51075,0,0
2016-W10,385,0,552684,277847,49432,0,0
2016-W11,92529,0,992996,807938,45008,0,0
2016-W12,35776,0,778938,655469,52249,0,0
2016-W13,0,0,621143,392208,49418,0,0
2016-W14,0,0,592529,286793,53120,0,0
2016-W15,46688,0,769324,533162,47198,0,0
2016-W16,56683,0,821823,465177,43339,0,0
2016-W17,0,0,656319,214028,39905,0,0
2016-W18,0,0,613885,257560,39407,0,0
2016-W19,13762,0,710152,427961,51838,0,0
2016-W20,88774,0,925056,653957,44448,0,0
2016-W21,14330,0,697320,218174,46136,0,0
2016-W22,16312,0,728112,255097,45539,0,0
2016-W23,0,0,633589,215319,48326,0,0
2016-W24,78904,0,957595,655628,45126,0,0
2016-W25,14264,0,881083,354774,49386,0,0
2016-W26,0,0,781065,445950,48217,0,0
2016-W27,33264,0,798175,562979,52454,0,0
2016-W28,51160,0,836614,531603,47182,0,0
2016-W29,55146,0,1067285,732116,47953,0,0
2016-W30,83234,0,939576,810071,49419,0,0
2016-W31,106231,0,971593,758013,46896,0,0
2016-W32,18224,0,670096,363930,48843,0,0
2016-W33,84780,0,916491,810887,46556,0,0
2016-W34,59293,0,851841,662900,46061,0,0
2016-W35,110577,0,791739,806572,47259,0,0
2016-W36,73169,0,730595,646603,51608,0,0
2016-W37,57967,0,782799,564710,43195,0,0
2016-W38,98255,0,808119,770497,47578,0,0
2016-W39,111546,0,789296,834327,47489,0,0
2016-W40,73311,0,787256,775050,45565,0,0
2016-W41,14605,0,673298,315057,49212,0,0
2016-W42,145522,0,1149878,829376,45150,0,0
2016-W43,132028,0,1342207,876381,44824,0,0
2016-W44,126970,0,1152372,890659,48770,0,0
2016-W45,50319,0,711548,409521,50516,0,0
2016-W46,85713,0,1007959,751699,44564,0,0
2016-W47,138666,0,1386245,893554,44377,0,0
2016-W48,145094,0,1080620,891756,44189,0,0
2016-W49,86014,0,961425,741534,48989,0,0
2016-W50,52673,0,838453,564283,46608,0,0
2016-W51,150010,0,1576556,1033029,47784,0,0
2016-W52,145300,0,1096322,1041074,44278,0,0
2016-W53,151089,0,819761,931123,42925,0,0
2017-W01,91908,0,842576,664018,45240,0,0
2017-W02,130721,0,1075876,869211,50793,0,0
2017-W03,108309,0,1205582,1064375,44970,0,0
2017-W04,129199,0,1232074,1096414,47270,0,0
2017-W05,102598,0,855880,782201,46823,0,0
2017-W06,98730,0,1185193,709242,50129,0,0
2017-W07,82528,0,957548,915091,49584,0,0
2017-W08,120302,0,864007,753967,49432,0,0
2017-W09,99910,0,783175,541485,48196,0,0
2017-W10,111384,0,1192078,760916,50675,0,0
2017-W11,17898,0,803759,411735,51540,0,0
2017-W12,18336,0,817211,341953,49928,0,0
2017-W13,77720,0,820974,514838,51262,0,0
2017-W14,83806,0,880118,605092,47396,0,0
2017-W15,94969,0,1214868,637746,47974,0,0
2017-W16,34759,0,642345,306163,39646,0,0
2017-W17,66556,0,742617,507831,41668,0,0
2017-W18,46263,0,696914,458760,43174,0,0
2017-W19,103212,0,1346969,716787,52485,0,0
2017-W20,82313,0,732481,757864,49515,0,0
2017-W21,84163,0,851824,868161,48717,0,0
2017-W22,85163,0,893869,783356,46596,0,0
2017-W23,83377,0,1002994,612805,50969,0,0
2017-W24,49329,0,1476120,1023944,50681,0,0
2017-W25,109061,0,1566360,1112819,50630,0,0
2017-W26,89140,0,919440,786762,49958,0,0
2017-W27,94147,0,976193,643805,50792,0,0
2017-W28,120097,0,1415665,859670,53475,0,0
2017-W29,123253,0,1343032,824050,53298,0,0
2017-W30,99274,0,1280737,718956,52733,0,0
2017-W31,76544,0,910306,713021,46823,0,0
2017-W32,115741,0,1177382,788315,51201,0,0
2017-W33,76077,0,1054401,412496,51583,0,0
2017-W34,90938,0,1249500,631921,53153,0,0
2017-W35,89578,0,1262581,757050,51792,0,0
2017-W36,57095,0,889314,581857,50415,0,0
2017-W37,101489,0,1223641,674447,53750,0,0
2017-W38,125429,0,1247947,571605,53503,0,0
2017-W39,143344,0,1402533,791324,52723,0,0
2017-W40,86055,0,995687,765492,49622,0,0
2017-W41,77772,0,1153823,722507,50707,0,0
2017-W42,88872,0,1190917,757053,47928,0,0
2017-W43,123972,0,1345130,702090,44556,0,0
2017-W44,88929,0,982960,646255,47332,0,0
2017-W45,82480,0,1097745,680558,51595,0,0
2017-W46,127842,0,1658669,1038701,51587,0,0
2017-W47,114653,0,1603154,1070786,51191,0,0
2017-W48,135005,0,1538180,1002210,49731,0,0
2017-W49,69449,0,1004710,560015,50526,0,0
2017-W50,95345,0,1151314,1007896,52705,0,0
2017-W51,133253,0,1209230,1077634,53150,0,0
2017-W52,29812,0,662402,343250,46354,0,0
2017-W53,0,0,79610,20477,4375,0,0
2018-W01,27952,0,651932,411209,37709,0,0
2018-W02,76367,0,889616,696937,44672,0,0
2018-W03,78327,0,985705,849456,51592,0,0
2018-W04,43568,0,1052391,509438,49916,0,0
2018-W05,63025,0,1000087,550823,51757,0,0
2018-W06,68536,0,850548,561903,46312,0,0
2018-W07,96682,0,922059,698786,50891,0,0
2018-W08,76378,0,925409,776629,51187,0,0
2018-W09,31533,0,936104,694962,47906,0,0
2018-W10,74449,0,968631,602756,48604,0,0
2018-W11,11491,0,959283,349901,51448,0,0
2018-W12,0,0,753535,278967,49459,0,0
2018-W13,0,0,678341,221065,44060,0,0
2018-W14,36092,0,739500,427206,47070,0,0
2018-W15,60373,0,1125609,751585,46314,0,0
2018-W16,0,0,735002,383315,44559,0,0
2018-W17,0,0,651410,367630,38317,0,0
2018-W18,28076,0,717098,376622,43774,0,0
2018-W19,83810,0,1127657,794338,48296,0,0
2018-W20,0,0,739921,337240,46182,0,0
2018-W21,64072,0,1118062,681619,46225,0,0
2018-W22,71375,0,1010149,787474,47471,0,0
2018-W23,73579,0,979483,606010,48499,0,0
2018-W24,22447,0,917093,453217,48041,0,0
2018-W25,43092,0,899652,372827,47199,0,0
2018-W26,82960,0,1135610,596043,47488,0,0
2018-W27,68065,0,922001,535636,46605,0,0
2018-W28,76067,0,1011712,732922,48149,0,0
2018-W29,101948,0,869583,704829,44952,0,0
2018-W30,98425,0,1072070,729098,48444,0,0
2018-W31,70586,0,1101211,667520,49050,0,0
2018-W32,68075,0,1043752,683030,47512,0,0
2018-W33,17166,0,900120,528175,48244,0,0
2018-W34,18217,0,1037943,758109,45902,0,0
2018-W35,98558,0,1117806,864104,49422,0,0
2018-W36,53515,0,952330,559682,50314,0,0
2018-W37,79518,0,1022551,795180,47860,0,0
2018-W38,113646,0,1083458,930036,50693,0,0
2018-W39,121061,0,884793,818353,50372,0,0
2018-W40,49942,0,796388,490126,46397,0,0
2018-W41,89336,0,992220,656411,48016,0,0
2018-W42,79624,0,1095249,703428,49945,0,0
2018-W43,73695,0,1116700,710883,49896,0,0
2018-W44,39674,0,943819,573903,46233,0,0
2018-W45,74891,0,917791,577449,50131,0,0
2018-W46,101151,0,1302612,896265,45030,0,0
2018-W47,81133,0,1385060,963784,43185,0,0
2018-W48,12597,0,1290685,964205,48574,0,0
2018-W49,49665,0,877842,466112,47945,0,0
2018-W50,87504,0,1114659,745288,47137,0,0
2018-W51,68245,0,1141479,638275,45827,0,0
2018-W52,84223,0,1221618,422200,40925,0,0
2018-W53,0,0,276660,89345,10164,0,0
