time,generation biomass,generation geothermal,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other renewable,generation solar,generation waste,generation wind offshore, generation wind onshore
01-01-15,10284,0,25690,25149,52005,0,170328,1775,27443,4852,0,89002
02-01-15,9247,0,37048,31045,89159,0,170540,1473,30053,4446,0,269409
03-01-15,10572,0,32123,32994,95266,0,170289,1598,26871,4895,0,220018
04-01-15,9531,0,14160,35886,77792,0,170007,1379,57660,3823,0,193576
05-01-15,6133,0,19747,19814,43206,0,66847,1249,18461,2576,0,124571
06-01-15,12889,0,5353,19656,73820,0,116324,1585,54315,5589,0,60726
07-01-15,11883,0,3263,17422,49728,0,143648,1275,55267,5228,0,138788
08-01-15,12441,0,9705,15953,36855,0,161795,1616,55232,5661,0,86760
09-01-15,11589,0,3920,14616,48603,0,164598,1650,39061,5985,0,103102
10-01-15,13429,0,4128,11487,60783,0,144045,1709,43800,5951,0,54124
11-01-15,12767,0,39566,15413,23149,0,121013,1558,15098,6336,0,231111
12-01-15,11373,0,5747,19574,76161,0,130971,1655,21301,5511,0,30241
13-01-15,12582,0,13196,22242,61608,0,170410,1683,21269,6445,0,155037
14-01-15,12643,0,9733,23774,75479,0,170375,1768,17568,6428,0,142224
15-01-15,11660,0,18682,24111,46034,0,170280,1758,13991,6253,0,229207
16-01-15,11811,0,24179,27378,48625,0,170436,1780,16257,6266,0,243007
17-01-15,11792,0,17732,26177,56629,0,170462,1798,23884,6319,0,158548
18-01-15,11968,0,24501,25788,54665,0,170517,1752,5990,6323,0,142838
19-01-15,11236,0,17266,24947,52430,0,151612,1558,16471,5760,0,158345
20-01-15,12634,0,6813,28341,95144,0,146293,1815,11254,6379,0,103250
21-01-15,12857,0,14384,28249,64942,0,148712,1837,14563,5885,0,196602
22-01-15,12851,0,19378,27028,49414,0,167502,1780,19003,5425,0,238589
23-01-15,13164,0,16652,27039,50312,0,170387,1761,29037,5412,0,210598
24-01-15,12305,0,18214,25721,48158,0,170308,1836,32015,5251,0,204746
25-01-15,10672,0,31725,24772,38671,0,170326,1759,33737,5417,0,242590
26-01-15,11053,0,15265,26575,74883,0,170431,1764,32534,5464,0,161767
27-01-15,10589,0,11120,23422,52167,0,163375,1691,27542,4925,0,189012
28-01-15,10879,0,13174,22239,59522,0,163252,1756,26540,4856,0,174816
29-01-15,11660,0,17730,25263,51630,0,170286,1842,15908,4972,0,328227
30-01-15,10796,0,26088,30274,84959,0,170344,1788,8538,4655,0,357754
31-01-15,9288,0,23746,30573,93726,0,170443,1546,17915,4470,0,323197
01-02-15,10705,0,11171,26796,92163,0,170339,1822,26002,4916,0,54976
02-02-15,11634,0,10309,33173,110184,0,170547,1699,10592,4018,0,220893
03-02-15,11493,0,12791,37148,131664,0,170341,1682,29758,5198,0,167061
04-02-15,9141,0,13676,35218,66696,0,170024,1431,56297,4154,0,135520
05-02-15,9289,0,20666,28778,53125,0,95826,1695,47940,3675,0,160651
06-02-15,12658,0,1285,20123,80376,0,119186,1652,59386,5843,0,58017
07-02-15,11698,0,3461,16948,62121,0,143991,1374,51920,5208,0,89704
08-02-15,12271,0,25400,15165,34065,0,161928,1570,56616,5493,0,115738
