time,generation biomass,generation geothermal,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other renewable,generation solar,generation waste,generation wind offshore, generation wind onshore
2015-01,354578.00,0.00,540028.00,752922.00,1885525.00,0.00,4886156.00,51794.00,828578.00,167758.00,0.00,5561782.00
2015-02,315941.00,0.00,489748.00,779725.00,2494928.00,0.00,4489715.00,47386.00,836321.00,143689.00,0.00,5195774.00
2015-03,347803.00,0.00,444996.00,872415.00,2289644.00,0.00,4969120.00,49508.00,953625.00,131601.00,0.00,5013674.00
2015-04,306098.00,0.00,350122.00,721985.00,1806497.00,0.00,4356946.00,50045.00,1049371.00,138076.00,0.00,3953582.00
2015-05,374656.00,0.00,396297.00,668236.00,2081849.00,0.00,4020440.00,52501.00,1428683.00,151017.00,0.00,5027512.00
2015-06,349433.00,0.00,281110.00,624985.00,1819910.00,0.00,4069020.00,47103.00,1437037.00,180215.00,0.00,3145981.00
2015-07,381291.00,0.00,232892.00,550493.00,1794919.00,0.00,4823816.00,50834.00,1468463.00,181146.00,0.00,2942709.00
2015-08,386097.00,0.00,425290.00,523919.00,1460519.00,0.00,4789757.00,50723.00,1293779.00,173274.00,0.00,3612993.00
2015-09,372317.00,0.00,315830.00,522576.00,1628033.00,0.00,4655646.00,48936.00,1145729.00,171261.00,0.00,3113136.00
2015-10,386550.00,0.00,306017.00,522054.00,1694028.00,0.00,4355385.00,52578.00,805216.00,177414.00,0.00,3420344.00
2015-11,362604.00,0.00,374930.00,558816.00,1731161.00,0.00,4300614.00,50625.00,843638.00,174785.00,0.00,3235510.00
2015-12,359556.00,0.00,504874.00,542338.00,1443967.00,0.00,4923140.00,53216.00,649615.00,160879.00,0.00,3672754.00
2016-01,342237.00,0.00,627999.00,785781.00,3032235.00,0.00,4630544.00,57998.00,763152.00,184253.00,0.00,3715089.00
2016-02,299520.00,0.00,576087.00,810680.00,3397572.00,0.00,4286848.00,51820.00,875609.00,146825.00,0.00,4547899.00
2016-03,319300.00,0.00,614765.00,953859.00,2898848.00,0.00,4978017.00,54538.00,1027499.00,165276.00,0.00,4372325.00
2016-04,206561.00,0.00,451972.00,1052976.00,3685893.00,0.00,4828613.00,56358.00,1001100.00,171592.00,0.00,3847098.00
2016-05,250879.00,0.00,424096.00,1037550.00,3408817.00,0.00,4251223.00,58986.00,1256751.00,174150.00,0.00,3950182.00
2016-06,245043.00,0.00,325848.00,787718.00,2148331.00,0.00,4786174.00,60108.00,1398837.00,182828.00,0.00,4059747.00
2016-07,261454.00,0.00,297540.00,660731.00,1899626.00,0.00,4931918.00,58420.00,1423421.00,215946.00,0.00,4246864.00
2016-08,275016.00,0.00,254554.00,622691.00,1830255.00,0.00,4935212.00,58352.00,1365874.00,211221.00,0.00,3796776.00
2016-09,251562.00,0.00,272305.00,537489.00,1658492.00,0.00,4806544.00,60330.00,1114714.00,208410.00,0.00,3948981.00
2016-10,250483.00,0.00,388486.00,503433.00,1862865.00,0.00,4899631.00,62417.00,754896.00,207495.00,0.00,3567752.00
2016-11,255657.00,0.00,380089.00,648200.00,1800934.00,0.00,3984694.00,61889.00,684995.00,197047.00,0.00,4151804.00
2016-12,252050.00,0.00,356991.00,578131.00,2087141.00,0.00,4706522.00,67027.00,680742.00,202681.00,0.00,3362706.00
2017-01,258379.00,0.00,462927.00,526553.00,1604772.00,0.00,5036818.00,73808.00,809783.00,222837.00,0.00,4823574.00
2017-02,236117.00,0.00,308978.00,671967.00,1259899.00,0.00,4528788.00,63779.00,777814.00,195590.00,0.00,3582394.00
2017-03,211311.00,0.00,264229.00,758156.00,1744905.00,0.00,5019672.00,71094.00,1051413.00,212532.00,0.00,4178000.00
2017-04,202148.00,0.00,359174.00,637220.00,1160219.00,0.00,4806996.00,69099.00,1057556.00,221326.00,0.00,4134002.00
2017-05,263007.00,0.00,301848.00,694732.00,1219875.00,0.00,4137563.00,71979.00,1339239.00,217262.00,0.00,3743736.00
2017-06,244785.00,0.00,259542.00,567103.00,1043024.00,0.00,4365979.00,66316.00,1381697.00,215018.00,0.00,4022300.00
2017-07,273574.00,0.00,177278.00,509932.00,960492.00,0.00,4551348.00,69487.00,1506689.00,227953.00,0.00,3570811.00
2017-08,269982.00,0.00,180299.00,455879.00,937954.00,0.00,4966830.00,68632.00,1305095.00,232664.00,0.00,3235295.00
2017-09,253417.00,0.00,184053.00,415741.00,1130767.00,0.00,4627936.00,68308.00,1246584.00,214411.00,0.00,2796393.00
2017-10,256234.00,0.00,315049.00,398311.00,915817.00,0.00,4472797.00,71242.00,1001523.00,216826.00,0.00,3899926.00
2017-11,255307.00,0.00,274912.00,428497.00,987364.00,0.00,4006956.00,68329.00,850065.00,204155.00,0.00,3744136.00
2017-12,258297.00,0.00,575984.00,667223.00,1081000.00,0.00,5070463.00,68311.00,770357.00,226924.00,0.00,5399398.00
2018-01,255823.00,0.00,340986.00,835665.00,1690291.00,0.00,5002425.00,72155.00,782256.00,229542.00,0.00,4610899.00
2018-02,242264.00,0.00,273087.00,848587.00,1863593.00,0.00,4320539.00,65021.00,837386.00,209131.00,0.00,4612981.00
2018-03,228290.00,0.00,556635.00,1124399.00,3253166.00,0.00,4526122.00,72548.00,1004773.00,228873.00,0.00,6517032.00
2018-04,215563.00,0.00,413728.00,1127587.00,2995127.00,0.00,3963006.00,69949.00,1081186.00,220187.00,0.00,3808258.00
2018-05,236822.00,0.00,215465.00,1063328.00,2180810.00,0.00,4066109.00,74839.00,1136013.00,184371.00,0.00,3265969.00
2018-06,253248.00,0.00,152737.00,1017766.00,2421021.00,0.00,4034324.00,72799.00,1335742.00,210858.00,0.00,3441192.00
2018-07,272845.00,0.00,193419.00,842435.00,2072397.00,0.00,4548286.00,71861.00,1493687.00,227379.00,0.00,3016511.00
2018-08,268826.00,0.00,171529.00,731230.00,1708246.00,0.00,4951559.00,71882.00,1269956.00,229410.00,0.00,3242783.00
2018-09,255937.00,0.00,131038.00,650647.00,1632702.00,0.00,4767839.00,72140.00,1087670.00,221820.00,0.00,3071512.00
2018-10,236856.00,0.00,386364.00,671693.00,1618283.00,0.00,4871645.00,73470.00,744841.00,228844.00,0.00,4586920.00
2018-11,246314.00,0.00,281377.00,874715.00,1919448.00,0.00,3890518.00,69453.00,598801.00,210338.00,0.00,4361442.00
2018-12,238200.00,0.00,253104.00,928740.00,2055690.00,0.00,4330937.00,71336.00,651439.00,215860.00,0.00,4379720.00
